,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Tabla.N°:,1.2 ,,,,,,,,,,,
,Nombre de la tabla:,"Población por autoidentificación según cultura y costumbres, según provincia, cantón, parroquia de residencia y sexo al nacer ",,,,,,,,,,,
,Fuente:,VIII Censo de Población y VII de Vivienda ,,,,,,,,,,,
,Elaboración:,Instituto Nacional de Estadística y Censos (INEC) - Componente de Metodología y Análisis – CPV 2022 ,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Índice,"Provincia, cantón, parroquia de residencia y sexo al nacer",,,,Número total de personas ,Autoidentificación según cultura y costumbres,,,,,,,
,,,,,,Indigena,Afroecuatoriano/a o Afrodescendiente,Negra/o,Mulata/o,Montubia/o,Mestiza/o,Blanca/o,Otro
,,,,,,,,,,,,,
,Esmeraldas,Atacames,Total Atacames,Mujeres,"26,369",71,"2,128","2,676","5,755",422,"14,629",683,5
,Esmeraldas,Atacames,Atacames,Total Atacames,"21,868",92,"2,187","2,323","5,198",364,"11,118",580,6
,Esmeraldas,Atacames,Atacames,Hombres,"10,596",39,"1,070","1,151","2,472",197,"5,373",290,4
,Esmeraldas,Atacames,Atacames,Mujeres,"11,272",53,"1,117","1,172","2,726",167,"5,745",290,2
,Esmeraldas,Atacames,La Unión,Total La Unión,"3,358",6,203,128,"1,166",68,"1,692",95,
,Esmeraldas,Atacames,La Unión,Hombres,"1,623",4,91,69,565,31,822,41,
,Esmeraldas,Atacames,La Unión,Mujeres,"1,735",2,112,59,601,37,870,54,
,Esmeraldas,Atacames,Súa,Total Súa,"4,412",2,377,594,835,88,"2,436",79,1
,Esmeraldas,Atacames,Súa,Hombres,"2,137",2,180,280,415,39,"1,176",44,1
,Esmeraldas,Atacames,Súa,Mujeres,"2,275",,197,314,420,49,"1,260",35,
,Esmeraldas,Atacames,Tonchigüe,Total Tonchigüe,"8,300",10,462,887,"1,029",118,"5,565",223,6
,Esmeraldas,Atacames,Tonchigüe,Hombres,"4,031",3,222,456,524,68,"2,637",116,5
,Esmeraldas,Atacames,Tonchigüe,Mujeres,"4,269",7,240,431,505,50,"2,928",107,1
,Esmeraldas,Atacames,Tonsupa,Total Tonsupa,"13,266",24,911,"1,412","2,810",245,"7,425",434,5
,Esmeraldas,Atacames,Tonsupa,Hombres,"6,448",15,449,712,"1,307",126,"3,599",237,3
,Esmeraldas,Atacames,Tonsupa,Mujeres,"6,818",9,462,700,"1,503",119,"3,826",197,2
,Esmeraldas,Rioverde,Total Rioverde,Total Rioverde,"32,885",489,"6,560","11,796","3,551",696,"9,248",543,2
,Esmeraldas,Rioverde,Total Rioverde,Hombres,"16,281",246,"3,176","5,891","1,696",388,"4,580",302,2
,Esmeraldas,Rioverde,Total Rioverde,Mujeres,"16,604",243,"3,384","5,905","1,855",308,"4,668",241,
,Esmeraldas,Rioverde,Rioverde,Total Rioverde,"7,124",106,"1,381","2,702","1,389",67,"1,371",107,1
,Esmeraldas,Rioverde,Rioverde,Hombres,"3,435",54,678,"1,322",652,40,628,60,1
,Esmeraldas,Rioverde,Rioverde,Mujeres,"3,689",52,703,"1,380",737,27,743,47,
,Esmeraldas,Rioverde,Chontaduro,Total Chontaduro,"4,156",2,300,"1,603",331,56,"1,781",83,
,Esmeraldas,Rioverde,Chontaduro,Hombres,"2,169",,157,835,174,35,924,44,
,Esmeraldas,Rioverde,Chontaduro,Mujeres,"1,987",2,143,768,157,21,857,39,
,Esmeraldas,Rioverde,Chumundé,Total Chumundé,"4,508",363,233,"1,207",472,318,"1,809",105,1
,Esmeraldas,Rioverde,Chumundé,Hombres,"2,308",187,116,624,237,164,921,58,1
,Esmeraldas,Rioverde,Chumundé,Mujeres,"2,200",176,117,583,235,154,888,47,
,Esmeraldas,Rioverde,Lagarto,Total Lagarto,"5,670",9,"1,404","1,658",339,91,"2,060",109,
,Esmeraldas,Rioverde,Lagarto,Hombres,"2,828",3,696,821,165,56,"1,026",61,
,Esmeraldas,Rioverde,Lagarto,Mujeres,"2,842",6,708,837,174,35,"1,034",48,
,Esmeraldas,Rioverde,Montalvo,Total Montalvo,"5,254",5,"1,303","2,069",444,128,"1,203",102,
,Esmeraldas,Rioverde,Montalvo,Hombres,"2,592",1,586,"1,053",218,75,600,59,
,Esmeraldas,Rioverde,Montalvo,Mujeres,"2,662",4,717,"1,016",226,53,603,43,
,Esmeraldas,Rioverde,Rocafuerte,Total Rocafuerte,"6,173",4,"1,939","2,557",576,36,"1,024",37,
,Esmeraldas,Rioverde,Rocafuerte,Hombres,"2,949",1,943,"1,236",250,18,481,20,
,Esmeraldas,Rioverde,Rocafuerte,Mujeres,"3,224",3,996,"1,321",326,18,543,17,
,Guayas,Total Guayas,Total Guayas,Total Guayas,"4,391,923","56,546","100,947","52,163","85,934","368,848","3,558,619","159,976","8,890"
,Guayas,Total Guayas,Total Guayas,Hombres,"2,154,292","29,029","49,587","27,445","42,986","192,223","1,731,727","76,264","5,031"
,Guayas,Total Guayas,Total Guayas,Mujeres,"2,237,631","27,517","51,360","24,718","42,948","176,625","1,826,892","83,712","3,859"
,Guayas,Guayaquil,Total Guayaquil,Total Guayaquil,"2,746,403","36,816","82,523","41,363","66,545","62,535","2,339,325","111,500","5,796"
,Guayas,Guayaquil,Total Guayaquil,Hombres,"1,344,265","19,162","40,492","21,682","33,428","32,995","1,140,008","53,140","3,358"
,Guayas,Guayaquil,Total Guayaquil,Mujeres,"1,402,138","17,654","42,031","19,681","33,117","29,540","1,199,317","58,360","2,438"
,Guayas,Guayaquil,Guayaquil,Total Guayaquil,"2,665,392","36,349","81,296","40,484","65,032","60,574","2,267,105","109,885","4,667"
,Guayas,Guayaquil,Guayaquil,Hombres,"1,303,205","18,905","39,880","21,208","32,686","31,937","1,103,542","52,336","2,711"
,Guayas,Guayaquil,Guayaquil,Mujeres,"1,362,187","17,444","41,416","19,276","32,346","28,637","1,163,563","57,549","1,956"
,Guayas,Guayaquil,Juan Gómez Rendón,Total Juan Gómez Rendón,"13,483",56,83,25,119,413,"12,460",245,82
,Guayas,Guayaquil,Juan Gómez Rendón,Hombres,"6,836",32,39,17,60,239,"6,283",123,43
,Guayas,Guayaquil,Juan Gómez Rendón,Mujeres,"6,647",24,44,8,59,174,"6,177",122,39
,Guayas,Guayaquil,Morro,Total Morro,"6,502",48,63,28,65,218,"5,978",67,35
,Guayas,Guayaquil,Morro,Hombres,"3,352",29,35,18,35,112,"3,068",31,24
,Guayas,Guayaquil,Morro,Mujeres,"3,150",19,28,10,30,106,"2,910",36,11
,Guayas,Guayaquil,Posorja,Total Posorja,"33,709",186,928,660,932,667,"29,509",779,48
,Guayas,Guayaquil,Posorja,Hombres,"16,824",90,452,348,462,343,"14,711",385,33
,Guayas,Guayaquil,Posorja,Mujeres,"16,885",96,476,312,470,324,"14,798",394,15
,Guayas,Guayaquil,Puná,Total Puná,"15,275",139,121,93,164,394,"12,992",420,952
,Guayas,Guayaquil,Puná,Hombres,"7,977",82,64,60,76,223,"6,716",218,538
,Guayas,Guayaquil,Puná,Mujeres,"7,298",57,57,33,88,171,"6,276",202,414
,Guayas,Guayaquil,Tenguel,Total Tenguel,"12,042",38,32,73,233,269,"11,281",104,12
,Guayas,Guayaquil,Tenguel,Hombres,"6,071",24,22,31,109,141,"5,688",47,9
,Guayas,Guayaquil,Tenguel,Mujeres,"5,971",14,10,42,124,128,"5,593",57,3
,Guayas,Alfredo Baquerizo Moreno (Juján),Total Alfredo Baquerizo Moreno (Juján),Total Alfredo Baquerizo Moreno (Juján),"25,526",27,185,41,153,"12,644","12,369",106,1
,Guayas,Alfredo Baquerizo Moreno (Juján),Total Alfredo Baquerizo Moreno (Juján),Hombres,"12,720",9,96,21,83,"6,467","5,996",47,1
,Guayas,Alfredo Baquerizo Moreno (Juján),Total Alfredo Baquerizo Moreno (Juján),Mujeres,"12,806",18,89,20,70,"6,177","6,373",59,
,Guayas,Alfredo Baquerizo Moreno (Juján),Alfredo Baquerizo Moreno (Juján),Total Alfredo Baquerizo Moreno (Juján),"25,526",27,185,41,153,"12,644","12,369",106,1
,Guayas,Alfredo Baquerizo Moreno (Juján),Alfredo Baquerizo Moreno (Juján),Hombres,"12,720",9,96,21,83,"6,467","5,996",47,1
,Guayas,Alfredo Baquerizo Moreno (Juján),Alfredo Baquerizo Moreno (Juján),Mujeres,"12,806",18,89,20,70,"6,177","6,373",59,
,Guayas,Balao,Total Balao,Total Balao,"25,655",96,309,133,238,636,"23,974",258,11
,Guayas,Balao,Total Balao,Hombres,"12,981",49,178,72,124,355,"12,087",110,6
,Guayas,Balao,Total Balao,Mujeres,"12,674",47,131,61,114,281,"11,887",148,5
,Guayas,Balao,Balao,Total Balao,"25,655",96,309,133,238,636,"23,974",258,11
,Guayas,Balao,Balao,Hombres,"12,981",49,178,72,124,355,"12,087",110,6
,Guayas,Balao,Balao,Mujeres,"12,674",47,131,61,114,281,"11,887",148,5
,Guayas,Balzar,Total Balzar,Total Balzar,"57,829",135,367,218,513,"25,492","30,295",802,7
,Guayas,Balzar,Total Balzar,Hombres,"28,732",72,176,123,281,"13,201","14,475",399,5
,Guayas,Balzar,Total Balzar,Mujeres,"29,097",63,191,95,232,"12,291","15,820",403,2
,Guayas,Balzar,Balzar,Total Balzar,"57,829",135,367,218,513,"25,492","30,295",802,7
,Guayas,Balzar,Balzar,Hombres,"28,732",72,176,123,281,"13,201","14,475",399,5
,Guayas,Balzar,Balzar,Mujeres,"29,097",63,191,95,232,"12,291","15,820",403,2
,Guayas,Colimes,Total Colimes,Total Colimes,"26,251",13,108,109,167,"12,323","13,117",414,
,Guayas,Colimes,Total Colimes,Hombres,"13,439",9,47,62,77,"6,569","6,457",218,
,Guayas,Colimes,Total Colimes,Mujeres,"12,812",4,61,47,90,"5,754","6,660",196,
,Guayas,Colimes,Colimes,Total Colimes,"20,339",13,94,50,107,"8,612","11,161",302,
,Guayas,Colimes,Colimes,Hombres,"10,387",9,44,24,50,"4,596","5,506",158,
,Guayas,Colimes,Colimes,Mujeres,"9,952",4,50,26,57,"4,016","5,655",144,
,Guayas,Colimes,San Jacinto,Total San Jacinto,"5,912",,14,59,60,"3,711","1,956",112,
,Guayas,Colimes,San Jacinto,Hombres,"3,052",,3,38,27,"1,973",951,60,
,Guayas,Colimes,San Jacinto,Mujeres,"2,860",,11,21,33,"1,738","1,005",52,
,Guayas,Daule,Total Daule,Total Daule,"222,446",273,"1,934",930,"2,006","51,907","156,692","8,578",126
,Guayas,Daule,Total Daule,Hombres,"106,825",151,944,499,972,"26,370","73,835","3,984",70
,Guayas,Daule,Total Daule,Mujeres,"115,621",122,990,431,"1,034","25,537","82,857","4,594",56
,Guayas,Daule,Daule,Total Daule,"183,399",166,"1,790",816,"1,774","27,740","142,843","8,151",119
,Guayas,Daule,Daule,Hombres,"87,466",96,875,445,861,"14,063","67,287","3,774",65
,Guayas,Daule,Daule,Mujeres,"95,933",70,915,371,913,"13,677","75,556","4,377",54
,Guayas,Daule,Juan Bautista Aguirre,Total Juan Bautista Aguirre,"9,380",21,15,20,22,"6,462","2,783",56,1
,Guayas,Daule,Juan Bautista Aguirre,Hombres,"4,641",11,9,9,11,"3,272","1,301",27,1
,Guayas,Daule,Juan Bautista Aguirre,Mujeres,"4,739",10,6,11,11,"3,190","1,482",29,
,Guayas,Daule,Laurel,Total Laurel,"10,558",70,41,28,76,"7,211","3,004",126,2
,Guayas,Daule,Laurel,Hombres,"5,222",36,18,13,36,"3,662","1,394",62,1
,Guayas,Daule,Laurel,Mujeres,"5,336",34,23,15,40,"3,549","1,610",64,1
,Guayas,Daule,Limonal,Total Limonal,"9,414",14,47,24,85,"6,098","3,022",121,3
,Guayas,Daule,Limonal,Hombres,"4,681",6,24,11,39,"3,083","1,457",59,2
,Guayas,Daule,Limonal,Mujeres,"4,733",8,23,13,46,"3,015","1,565",62,1
,Guayas,Daule,Los Lojas,Total Los Lojas,"9,695",2,41,42,49,"4,396","5,040",124,1
,Guayas,Daule,Los Lojas,Hombres,"4,815",2,18,21,25,"2,290","2,396",62,1
,Guayas,Daule,Los Lojas,Mujeres,"4,880",,23,21,24,"2,106","2,644",62,
,Guayas,Durán,Total Durán,Total Durán,"303,910","11,622","7,386","4,022","8,019","8,208","255,042","9,389",222
,Guayas,Durán,Total Durán,Hombres,"148,306","5,750","3,602","2,072","3,885","4,325","124,085","4,464",123
,Guayas,Durán,Total Durán,Mujeres,"155,604","5,872","3,784","1,950","4,134","3,883","130,957","4,925",99
,Guayas,Durán,Eloy Alfaro,Total Eloy Alfaro,"303,910","11,622","7,386","4,022","8,019","8,208","255,042","9,389",222
,Guayas,Durán,Eloy Alfaro,Hombres,"148,306","5,750","3,602","2,072","3,885","4,325","124,085","4,464",123
,Guayas,Durán,Eloy Alfaro,Mujeres,"155,604","5,872","3,784","1,950","4,134","3,883","130,957","4,925",99
,Guayas,El Empalme,Total El Empalme,Total El Empalme,"79,767",126,417,553,579,"15,498","61,256","1,315",23
,Guayas,El Empalme,Total El Empalme,Hombres,"39,498",63,217,302,287,"8,142","29,837",636,14
,Guayas,El Empalme,Total El Empalme,Mujeres,"40,269",63,200,251,292,"7,356","31,419",679,9
,Guayas,El Empalme,Velasco Ibarra,Total Velasco Ibarra,"50,951",104,329,323,361,"6,738","42,145",932,19
,Guayas,El Empalme,Velasco Ibarra,Hombres,"24,757",53,175,172,179,"3,458","20,273",435,12
,Guayas,El Empalme,Velasco Ibarra,Mujeres,"26,194",51,154,151,182,"3,280","21,872",497,7
,Guayas,El Empalme,Guayas,Total Guayas,"18,735",12,61,183,169,"5,665","12,313",328,4
,Guayas,El Empalme,Guayas,Hombres,"9,630",5,32,101,85,"3,067","6,166",172,2
,Guayas,El Empalme,Guayas,Mujeres,"9,105",7,29,82,84,"2,598","6,147",156,2
,Guayas,El Empalme,El Rosario,Total El Rosario,"10,081",10,27,47,49,"3,095","6,798",55,
,Guayas,El Empalme,El Rosario,Hombres,"5,111",5,10,29,23,"1,617","3,398",29,
,Guayas,El Empalme,El Rosario,Mujeres,"4,970",5,17,18,26,"1,478","3,400",26,
,Guayas,El Triunfo,Total El Triunfo,Total El Triunfo,"60,541",558,530,402,593,"2,395","54,915","1,105",43
,Guayas,El Triunfo,Total El Triunfo,Hombres,"29,737",270,270,229,291,"1,324","26,789",545,19
,Guayas,El Triunfo,Total El Triunfo,Mujeres,"30,804",288,260,173,302,"1,071","28,126",560,24
,Guayas,El Triunfo,El Triunfo,Total El Triunfo,"60,541",558,530,402,593,"2,395","54,915","1,105",43
,Guayas,El Triunfo,El Triunfo,Hombres,"29,737",270,270,229,291,"1,324","26,789",545,19
,Guayas,El Triunfo,El Triunfo,Mujeres,"30,804",288,260,173,302,"1,071","28,126",560,24
,Guayas,Milagro,Total Milagro,Total Milagro,"195,943","1,573","1,764",860,"1,638","8,327","177,864","3,754",163
,Guayas,Milagro,Total Milagro,Hombres,"95,390",789,865,454,816,"4,355","86,245","1,781",85
,Guayas,Milagro,Total Milagro,Mujeres,"100,553",784,899,406,822,"3,972","91,619","1,973",78
,Guayas,Milagro,Milagro,Total Milagro,"173,407","1,495","1,675",782,"1,530","6,354","157,931","3,483",157
,Guayas,Milagro,Milagro,Hombres,"84,137",746,819,422,768,"3,312","76,348","1,641",81
,Guayas,Milagro,Milagro,Mujeres,"89,270",749,856,360,762,"3,042","81,583","1,842",76
,Guayas,Milagro,Chobo,Total Chobo,"3,761",4,4,30,30,474,"3,184",35,
,Guayas,Milagro,Chobo,Hombres,"1,887",1,2,15,14,252,"1,586",17,
,Guayas,Milagro,Chobo,Mujeres,"1,874",3,2,15,16,222,"1,598",18,
,Guayas,Milagro,Mariscal Sucre,Total Mariscal Sucre,"6,072",8,18,2,7,352,"5,641",43,1
,Guayas,Milagro,Mariscal Sucre,Hombres,"3,047",4,9,1,4,188,"2,815",26,
,Guayas,Milagro,Mariscal Sucre,Mujeres,"3,025",4,9,1,3,164,"2,826",17,1
,Guayas,Milagro,Roberto Astudillo,Total Roberto Astudillo,"12,703",66,67,46,71,"1,147","11,108",193,5
,Guayas,Milagro,Roberto Astudillo,Hombres,"6,319",38,35,16,30,603,"5,496",97,4
,Guayas,Milagro,Roberto Astudillo,Mujeres,"6,384",28,32,30,41,544,"5,612",96,1
,Guayas,Naranjal,Total Naranjal,Total Naranjal,"83,691",503,"1,466","1,030","1,275","4,887","71,935","2,462",133
,Guayas,Naranjal,Total Naranjal,Hombres,"41,901",252,761,566,642,"2,792","35,599","1,209",80
,Guayas,Naranjal,Total Naranjal,Mujeres,"41,790",251,705,464,633,"2,095","36,336","1,253",53
,Guayas,Naranjal,Naranjal,Total Naranjal,"52,002",371,"1,028",652,810,"1,902","45,424","1,749",66
,Guayas,Naranjal,Naranjal,Hombres,"25,615",193,547,354,407,"1,100","22,140",836,38
,Guayas,Naranjal,Naranjal,Mujeres,"26,387",178,481,298,403,802,"23,284",913,28
,Guayas,Naranjal,Jesús María,Total Jesús María,"6,622",21,132,85,138,251,"5,796",193,6
,Guayas,Naranjal,Jesús María,Hombres,"3,272",7,69,49,75,141,"2,835",93,3
,Guayas,Naranjal,Jesús María,Mujeres,"3,350",14,63,36,63,110,"2,961",100,3
,Guayas,Naranjal,San Carlos,Total San Carlos,"9,404",61,177,173,189,504,"8,076",203,21
,Guayas,Naranjal,San Carlos,Hombres,"4,862",28,90,90,97,292,"4,143",110,12
,Guayas,Naranjal,San Carlos,Mujeres,"4,542",33,87,83,92,212,"3,933",93,9
,Guayas,Naranjal,Santa Rosa de Flandes,Total Santa Rosa de Flandes,"6,196",32,67,57,99,369,"5,407",129,36
,Guayas,Naranjal,Santa Rosa de Flandes,Hombres,"3,190",14,31,35,44,219,"2,754",70,23
,Guayas,Naranjal,Santa Rosa de Flandes,Mujeres,"3,006",18,36,22,55,150,"2,653",59,13
,Guayas,Naranjal,Taura,Total Taura,"9,467",18,62,63,39,"1,861","7,232",188,4
,Guayas,Naranjal,Taura,Hombres,"4,962",10,24,38,19,"1,040","3,727",100,4
,Guayas,Naranjal,Taura,Mujeres,"4,505",8,38,25,20,821,"3,505",88,
,Guayas,Naranjito,Total Naranjito,Total Naranjito,"44,169","2,985",256,192,346,"1,238","38,180",939,33
,Guayas,Naranjito,Total Naranjito,Hombres,"21,637","1,544",123,110,188,678,"18,540",438,16
,Guayas,Naranjito,Total Naranjito,Mujeres,"22,532","1,441",133,82,158,560,"19,640",501,17
,Guayas,Naranjito,Naranjito,Total Naranjito,"44,169","2,985",256,192,346,"1,238","38,180",939,33
,Guayas,Naranjito,Naranjito,Hombres,"21,637","1,544",123,110,188,678,"18,540",438,16
,Guayas,Naranjito,Naranjito,Mujeres,"22,532","1,441",133,82,158,560,"19,640",501,17
,Guayas,Palestina,Total Palestina,Total Palestina,"18,019",19,73,25,82,"10,458","7,217",144,1
,Guayas,Palestina,Total Palestina,Hombres,"9,079",10,39,16,37,"5,378","3,522",77,
,Guayas,Palestina,Total Palestina,Mujeres,"8,940",9,34,9,45,"5,080","3,695",67,1
,Guayas,Palestina,Palestina,Total Palestina,"18,019",19,73,25,82,"10,458","7,217",144,1
,Guayas,Palestina,Palestina,Hombres,"9,079",10,39,16,37,"5,378","3,522",77,
,Guayas,Palestina,Palestina,Mujeres,"8,940",9,34,9,45,"5,080","3,695",67,1
,Guayas,Pedro Carbo,Total Pedro Carbo,Total Pedro Carbo,"52,177",102,214,165,225,"17,641","33,420",403,7
,Guayas,Pedro Carbo,Total Pedro Carbo,Hombres,"26,458",57,119,91,112,"9,481","16,406",188,4
,Guayas,Pedro Carbo,Total Pedro Carbo,Mujeres,"25,719",45,95,74,113,"8,160","17,014",215,3
,Guayas,Pedro Carbo,Pedro Carbo,Total Pedro Carbo,"38,405",94,136,117,170,"11,798","25,792",295,3
,Guayas,Pedro Carbo,Pedro Carbo,Hombres,"19,397",52,80,62,84,"6,347","12,633",138,1
,Guayas,Pedro Carbo,Pedro Carbo,Mujeres,"19,008",42,56,55,86,"5,451","13,159",157,2
,Guayas,Pedro Carbo,Valle de la Virgen,Total Valle de la Virgen,"5,751",2,16,6,16,"4,283","1,415",11,2
,Guayas,Pedro Carbo,Valle de la Virgen,Hombres,"2,966",1,10,4,6,"2,246",693,5,1
,Guayas,Pedro Carbo,Valle de la Virgen,Mujeres,"2,785",1,6,2,10,"2,037",722,6,1
,Guayas,Pedro Carbo,Sabanilla,Total Sabanilla,"8,021",6,62,42,39,"1,560","6,213",97,2
,Guayas,Pedro Carbo,Sabanilla,Hombres,"4,095",4,29,25,22,888,"3,080",45,2
,Guayas,Pedro Carbo,Sabanilla,Mujeres,"3,926",2,33,17,17,672,"3,133",52,
,Guayas,Samborondón,Total Samborondón,Total Samborondón,"98,540",235,303,164,341,"17,341","66,638","13,394",124
,Guayas,Samborondón,Total Samborondón,Hombres,"47,699",119,131,79,145,"8,902","31,853","6,401",69
,Guayas,Samborondón,Total Samborondón,Mujeres,"50,841",116,172,85,196,"8,439","34,785","6,993",55
,Guayas,Samborondón,Samborondón,Total Samborondón,"81,854",198,236,130,284,"9,646","57,995","13,241",124
,Guayas,Samborondón,Samborondón,Hombres,"39,412",99,98,62,123,"4,942","27,691","6,328",69
,Guayas,Samborondón,Samborondón,Mujeres,"42,442",99,138,68,161,"4,704","30,304","6,913",55
,Guayas,Samborondón,Tarifa,Total Tarifa,"16,686",37,67,34,57,"7,695","8,643",153,
,Guayas,Samborondón,Tarifa,Hombres,"8,287",20,33,17,22,"3,960","4,162",73,
,Guayas,Samborondón,Tarifa,Mujeres,"8,399",17,34,17,35,"3,735","4,481",80,
,Guayas,Santa Lucía,Total Santa Lucía,Total Santa Lucía,"43,700",105,113,145,167,"28,211","14,595",361,3
,Guayas,Santa Lucía,Total Santa Lucía,Hombres,"22,273",60,58,87,83,"14,738","7,068",176,3
,Guayas,Santa Lucía,Total Santa Lucía,Mujeres,"21,427",45,55,58,84,"13,473","7,527",185,
,Guayas,Santa Lucía,Santa Lucía,Total Santa Lucía,"43,700",105,113,145,167,"28,211","14,595",361,3
,Guayas,Santa Lucía,Santa Lucía,Hombres,"22,273",60,58,87,83,"14,738","7,068",176,3
,Guayas,Santa Lucía,Santa Lucía,Mujeres,"21,427",45,55,58,84,"13,473","7,527",185,
,Guayas,Salitre,Total Salitre,Total Salitre,"61,060",80,69,110,283,"49,776","10,510",220,12
,Guayas,Salitre,Total Salitre,Hombres,"30,716",42,36,61,150,"25,429","4,896",95,7
,Guayas,Salitre,Total Salitre,Mujeres,"30,344",38,33,49,133,"24,347","5,614",125,5
,Guayas,Salitre,El Salitre,Total El Salitre,"30,549",77,55,59,130,"23,862","6,235",121,10
,Guayas,Salitre,El Salitre,Hombres,"15,146",41,30,28,65,"11,978","2,943",55,6
,Guayas,Salitre,El Salitre,Mujeres,"15,403",36,25,31,65,"11,884","3,292",66,4
,Guayas,Salitre,General Vernaza,Total General Vernaza,"10,522",3,7,30,67,"8,784","1,600",29,2
,Guayas,Salitre,General Vernaza,Hombres,"5,403",1,3,18,37,"4,581",747,15,1
,Guayas,Salitre,General Vernaza,Mujeres,"5,119",2,4,12,30,"4,203",853,14,1
,Guayas,Salitre,La Victoria,Total La Victoria,"7,309",,6,15,31,"6,173","1,059",25,
,Guayas,Salitre,La Victoria,Hombres,"3,697",,2,10,16,"3,198",464,7,
,Guayas,Salitre,La Victoria,Mujeres,"3,612",,4,5,15,"2,975",595,18,
,Guayas,Salitre,Junquillal,Total Junquillal,"12,680",,1,6,55,"10,957","1,616",45,
,Guayas,Salitre,Junquillal,Hombres,"6,470",,1,5,32,"5,672",742,18,
,Guayas,Salitre,Junquillal,Mujeres,"6,210",,,1,23,"5,285",874,27,
,Guayas,San Jacinto de Yaguachi,Total San Jacinto de Yaguachi,Total San Jacinto de Yaguachi,"72,699",165,441,359,601,"13,276","57,079",766,12
,Guayas,San Jacinto de Yaguachi,Total San Jacinto de Yaguachi,Hombres,"36,026",79,218,193,277,"6,908","27,994",350,7
,Guayas,San Jacinto de Yaguachi,Total San Jacinto de Yaguachi,Mujeres,"36,673",86,223,166,324,"6,368","29,085",416,5
,Guayas,San Jacinto de Yaguachi,San Jacinto de Yaguachi,Total San Jacinto de Yaguachi,"32,914",94,264,186,300,"5,539","26,107",418,6
,Guayas,San Jacinto de Yaguachi,San Jacinto de Yaguachi,Hombres,"16,111",41,126,104,133,"2,903","12,607",196,1
,Guayas,San Jacinto de Yaguachi,San Jacinto de Yaguachi,Mujeres,"16,803",53,138,82,167,"2,636","13,500",222,5
,Guayas,San Jacinto de Yaguachi,General Pedro J. Montero,Total General Pedro J. Montero,"8,461",11,37,16,53,"1,311","6,979",54,
,Guayas,San Jacinto de Yaguachi,General Pedro J. Montero,Hombres,"4,255",6,17,9,29,679,"3,492",23,
,Guayas,San Jacinto de Yaguachi,General Pedro J. Montero,Mujeres,"4,206",5,20,7,24,632,"3,487",31,
,Guayas,San Jacinto de Yaguachi,Yaguachi Viejo,Total Yaguachi Viejo,"13,140",23,57,60,94,"4,796","8,036",73,1
,Guayas,San Jacinto de Yaguachi,Yaguachi Viejo,Hombres,"6,637",13,32,33,44,"2,476","4,002",36,1
,Guayas,San Jacinto de Yaguachi,Yaguachi Viejo,Mujeres,"6,503",10,25,27,50,"2,320","4,034",37,
,Guayas,San Jacinto de Yaguachi,Virgen de Fátima,Total Virgen de Fátima,"18,184",37,83,97,154,"1,630","15,957",221,5
,Guayas,San Jacinto de Yaguachi,Virgen de Fátima,Hombres,"9,023",19,43,47,71,850,"7,893",95,5
,Guayas,San Jacinto de Yaguachi,Virgen de Fátima,Mujeres,"9,161",18,40,50,83,780,"8,064",126,
,Guayas,Playas,Total Playas,Total Playas,"58,768",524,"1,513",695,"1,261","1,491","49,319","1,810","2,155"
,Guayas,Playas,Total Playas,Hombres,"29,099",264,721,372,628,772,"24,309",881,"1,152"
,Guayas,Playas,Total Playas,Mujeres,"29,669",260,792,323,633,719,"25,010",929,"1,003"
,Guayas,Playas,General Villamil,Total General Villamil,"58,768",524,"1,513",695,"1,261","1,491","49,319","1,810","2,155"
,Guayas,Playas,General Villamil,Hombres,"29,099",264,721,372,628,772,"24,309",881,"1,152"
,Guayas,Playas,General Villamil,Mujeres,"29,669",260,792,323,633,719,"25,010",929,"1,003"
,Guayas,Simón Bolívar,Total Simón Bolívar,Total Simón Bolívar,"29,427",140,206,229,168,"7,147","21,173",361,3
,Guayas,Simón Bolívar,Total Simón Bolívar,Hombres,"14,820",69,105,119,91,"3,811","10,455",169,1
,Guayas,Simón Bolívar,Total Simón Bolívar,Mujeres,"14,607",71,101,110,77,"3,336","10,718",192,2
,Guayas,Simón Bolívar,Simón Bolívar,Total Simón Bolívar,"16,448",41,85,110,86,"4,611","11,294",220,1
,Guayas,Simón Bolívar,Simón Bolívar,Hombres,"8,175",20,46,61,42,"2,414","5,489",102,1
,Guayas,Simón Bolívar,Simón Bolívar,Mujeres,"8,273",21,39,49,44,"2,197","5,805",118,
,Guayas,Simón Bolívar,Coronel Lorenzo de Garaycoa,Total Coronel Lorenzo de Garaycoa,"12,979",99,121,119,82,"2,536","9,879",141,2
,Guayas,Simón Bolívar,Coronel Lorenzo de Garaycoa,Hombres,"6,645",49,59,58,49,"1,397","4,966",67,
,Guayas,Simón Bolívar,Coronel Lorenzo de Garaycoa,Mujeres,"6,334",50,62,61,33,"1,139","4,913",74,2
,Guayas,Coronel Marcelino Maridueña,Total Coronel Marcelino Maridueña,Total Coronel Marcelino Maridueña,"13,183",141,86,48,71,532,"12,150",152,3
,Guayas,Coronel Marcelino Maridueña,Total Coronel Marcelino Maridueña,Hombres,"6,701",66,44,32,39,323,"6,114",81,2
